,Cloudiness,Date,Humidity,Lat,Lng,Max temp,Wind speed,city,country_code
295,1,1524262500,37,40.77,-72.85,11.0,6.2,Mastic Beach,US
296,0,1524261600,60,56.17,91.82,0.0,2.0,Kedrovyy,RU
297,40,1524261360,65,20.89,-156.47,28.0,7.7,Kahului,US
298,12,1524261000,85,69.22,-51.1,-4.0,5.1,Ilulissat,GL
299,32,1524264753,93,3.52,15.05,22.3,1.46,Yokadouma,CM
300,20,1524263400,93,35.04,33.98,16.0,0.5,Paralimni,CY
301,8,1524264753,98,14.05,121.57,27.47,3.49,Dapdap,PH
302,0,1524261600,22,13.77,-13.67,31.0,2.1,Tambacounda,SN
303,56,1524263400,94,5.88,-10.05,26.0,2.94,Buchanan,LR
304,8,1524264754,48,-31.97,141.45,21.92,2.06,Broken Hill,AU
305,68,1524264754,95,10.93,108.1,26.3,3.76,Phan Thiet,VN
306,12,1524264754,75,60.75,-137.51,-0.53,2.81,Haines Junction,CA
307,92,1524264754,97,-45.41,167.72,6.52,3.51,Te Anau,NZ
308,88,1524264755,80,8.15,35.53,17.87,1.61,Gore,ET
309,40,1524261720,88,-27.58,153.3,21.0,4.1,Victoria Point,AU
310,20,1524260700,79,-2.76,-42.27,29.0,4.1,Tutoia,BR
311,75,1524263400,87,-42.88,147.33,11.0,3.1,Hobart,AU
312,20,1524261600,23,55.74,-97.86,12.0,9.8,Thompson,CA
313,0,1524261600,81,44.93,22.0,9.0,0.5,Bozovici,RO
314,64,1524264755,97,-0.13,-67.09,22.7,0.59,Sao Gabriel da Cachoeira,BR
315,12,1524264756,97,-6.64,-51.99,23.12,1.01,Sao Felix do Xingu,BR
316,0,1524264756,47,43.74,135.29,19.17,3.14,Olga,RU
317,76,1524264756,92,69.41,86.18,-9.63,3.24,Dudinka,RU
318,1,1524261180,25,39.95,-94.76,17.0,6.7,Kodiak,US
319,32,1524261600,78,-23.13,150.74,23.0,3.1,Yeppoon,AU
320,0,1524264757,20,26.93,71.92,12.27,1.26,Pokaran,IN
321,12,1524264757,79,68.75,161.3,-3.93,0.81,Cherskiy,RU
322,75,1524261600,66,14.3,-91.92,30.0,4.1,Champerico,GT
323,75,1524261300,83,32.3,-64.78,22.0,5.1,Hamilton,BM
324,92,1524264758,67,57.8,35.88,11.45,7.01,Maksatikha,RU
325,20,1524261600,59,68.22,-135.01,-17.0,3.6,Aklavik,CA
326,90,1524261360,93,55.34,-131.65,6.0,4.1,Ketchikan,US
327,90,1524261600,87,54.32,-130.32,7.0,5.1,Prince Rupert,CA
328,12,1524264758,61,40.29,97.04,5.32,6.01,Yumen,CN
329,5,1524261600,83,69.44,-133.03,-21.0,4.1,Tuktoyaktuk,CA
330,20,1524263400,77,-35.55,138.62,19.0,3.1,Victor Harbor,AU
331,0,1524263400,82,39.57,2.51,14.0,3.1,Calvia,ES
332,48,1524264759,67,66.77,123.37,-3.71,1.49,Zhigansk,RU
333,0,1524261600,31,17.54,44.22,25.0,2.96,Najran,SA
334,0,1524261000,73,71.03,27.85,-5.0,5.1,Mehamn,NO
335,40,1524261600,61,26.63,-78.28,28.0,5.1,High Rock,BS
336,0,1524264760,29,-43.25,-65.31,22.3,6.64,Trelew,AR
337,48,1524264760,97,-8.13,112.22,27.17,2.74,Kanigoro,ID
338,1,1524261300,39,47.42,-120.29,19.0,4.1,East Wenatchee,US
339,20,1524264820,94,-34.42,19.24,6.77,1.24,Hermanus,ZA
340,0,1524264820,57,20.71,-105.21,26.47,1.26,Ixtapa,MX
341,0,1524261600,53,-20.73,139.49,23.0,2.74,Mount Isa,AU
342,40,1524261600,47,49.78,-74.86,3.0,6.2,Chapais,CA
343,0,1524264821,77,22.93,57.53,12.47,1.11,Nizwa,OM
344,0,1524261600,82,31.42,130.32,13.0,1.5,Kaseda,JP
345,88,1524264821,94,71.64,128.87,-4.23,1.79,Tiksi,RU
346,0,1524261600,82,35.03,10.91,17.0,1.5,Jabinyanah,TN
347,75,1524263400,94,5.21,-4.42,25.0,2.6,Jackville,CI
348,20,1524264822,76,-35.1,173.78,18.65,5.19,Kaeo,NZ
349,88,1524264822,95,12.48,102.07,27.32,1.49,Laem Sing,TH
350,0,1524264822,97,54.95,-7.73,7.67,3.04,Letterkenny,IE
351,0,1524264823,86,48.03,40.04,7.07,5.26,Almaznyy,RU
352,20,1524261600,78,-6.09,-35.21,27.0,4.6,Nisia Floresta,BR
353,0,1524261600,71,55.96,92.38,0.0,2.0,Divnogorsk,RU
354,80,1524264823,92,-41.87,-73.83,13.02,3.16,Ancud,CL
355,92,1524264823,85,58.84,36.43,8.82,3.99,Ustyuzhna,RU
356,1,1524261360,29,46.88,-102.79,17.0,8.7,Dickinson,US
357,20,1524261600,83,-9.47,147.16,27.0,4.99,Port Moresby,PG
358,0,1524264824,95,-33.01,17.94,13.15,3.64,Saldanha,ZA
359,8,1524264824,99,-5.21,145.81,26.55,1.06,Madang,PG
360,36,1524264824,98,5.38,95.96,25.17,2.96,Sigli,ID
361,24,1524261600,87,-34.53,20.04,10.0,2.1,Bredasdorp,ZA
362,75,1524263400,82,37.77,-25.7,16.0,4.1,Arrifes,PT
363,44,1524264825,90,-2.54,115.51,25.32,1.21,Labuhan,ID
364,0,1524264825,38,26.59,12.77,21.12,4.09,Awbari,LY
365,0,1524261600,78,-13.71,-76.2,22.0,4.1,Pisco,PE
366,88,1524264825,92,65.8,87.96,-8.23,5.11,Turukhansk,RU
367,36,1524264825,54,22.2,-84.09,28.45,1.24,Guane,CU
368,68,1524264825,49,42.84,93.51,9.02,0.71,Hami,CN
369,56,1524261600,82,-28.77,114.6,14.0,5.7,Geraldton,AU
370,92,1524264826,84,-34.48,-54.34,20.65,1.96,Rocha,UY
